0,1,2,3,4,5,6,7,8,9,10,11,12
0.16506895,0.1898422,0.37471968,0.2982457,0.2644654,0.40085384,0.3274481,0.332614,0.18680865,0.09495889,0.37425178,0.7597419,0.14488634
0.26859194,0.3535156,0.7748047,0.78509223,0.51094675,0.49458575,0.35462204,0.55789256,0.37724388,0.13529895,0.37982562,0.5924695,0.0028233826
0.41564244,0.17388025,0.49198207,0.4120019,0.11231542,0.4874989,0.45269802,0.68720996,0.63791484,0.114442825,0.5213039,0.48984912,0.044092298
0.43379557,0.21670829,0.68271375,0.8033942,0.50596684,0.44386756,0.39825985,0.46915236,0.40080178,0.25851074,0.38819548,0.47447282,0.30244675
0.3643048,0.14963293,0.63489664,0.76805675,0.45837542,0.52029717,0.47755367,0.58957034,0.33308002,0.3235627,0.44770646,0.45016184,0.2461102
0.12554693,0.14069581,0.5252069,0.78998494,0.28496012,0.49354342,0.43896034,0.51036483,0.30727875,0.3589217,0.48253778,0.50833166,0.2988081
0.44231105,0.16216624,0.4549037,0.5331951,0.5987377,0.54551303,0.43691397,0.28392342,0.45700777,0.24148682,0.4161726,0.8822463,-0.009742677
0.3265153,0.20670514,0.49521068,0.58216226,0.28391582,0.39906096,0.365048,0.34562325,0.32228082,0.053055197,0.42966938,0.9891109,0.16415814
0.24298117,0.1799787,0.38010734,0.588624,0.20385078,0.33675262,0.23046513,0.34038305,0.21980682,0.079450145,0.35644528,0.527602,0.38897347
0.42140508,0.17164649,0.41638672,0.53996325,0.22565967,0.41893357,0.2550175,0.32389203,0.4168511,0.14560929,0.3718615,0.83583754,0.17935362
0.4881234,0.6287127,0.5782854,0.37435323,0.6243961,0.54716605,0.4111597,0.20765428,0.45145792,0.19079228,0.24579532,0.81472385,-0.02127117
0.28345826,0.18218303,0.5197776,0.48386216,0.3885895,0.809463,0.5140083,0.4554517,0.36410654,0.32779473,0.33326596,0.7020563,0.2041021
