0,1,2,3,4,5,6,7,8,9,10,11,12
0.19599763,0.030001447,0.17743959,0.33432433,0.15513575,0.58379036,0.42422748,0.53494734,0.27279595,0.031499773,0.65604156,0.74652004,0.21934366
0.20652398,0.19008051,0.56781393,0.8818103,0.377358,0.6360552,0.40945953,0.78023034,0.44368204,0.025769114,0.64749455,0.56916153,-0.028883278
0.6038923,0.020120025,0.3111294,0.3454975,0.044024646,0.7405848,0.62043,0.85570204,0.75697315,0.12892097,0.8269818,0.49368984,0.2981459
0.48547134,0.05766943,0.48760003,0.8259444,0.40204933,0.6360552,0.50439626,0.6670228,0.49115038,0.20532978,0.6731356,0.46350116,0.40058875
0.3617871,-0.0115005225,0.43412405,0.8259444,0.34032097,0.68832,0.55924857,0.79909825,0.41203645,0.24353418,0.7244177,0.4333125,0.28238547
0.45652398,-0.0075479597,0.35925776,0.6304137,0.25390118,0.8102712,0.6710629,0.64815485,0.45634025,0.4441072,0.80988777,0.52765214,0.71579754
0.42231342,0.00035718083,0.25230592,0.60248077,0.47612342,0.7057416,0.5107254,0.49721146,0.5322896,0.15279871,0.6902296,0.8635012,0.00657773
0.33020815,0.045811728,0.29508662,0.6360003,0.16748145,0.56985307,0.4495439,0.55381525,0.4025428,-0.02389659,0.7073236,0.97293514,0.20752335
0.22231343,0.018143743,0.17743959,0.65834665,0.08106169,0.49668235,0.3039743,0.55381525,0.29494786,-0.009569943,0.63040054,0.5087842,0.40452886
0.41178712,0.010238603,0.21487276,0.60248077,0.105753034,0.58379036,0.33351016,0.53494734,0.49431494,0.062063277,0.64749455,0.8182182,0.20752335
0.46441868,0.46676034,0.37530053,0.44605616,0.5008148,0.7057416,0.4832992,0.42173976,0.5259605,0.10026768,0.51928943,0.79557663,-0.009182721
0.35915557,0.024072602,0.32717222,0.49074888,0.29093823,1.0123618,0.6309785,0.64815485,0.4595048,0.28651407,0.62185353,0.6936899,0.3296668
