0,1,2,3,4,5,6,7,8,9,10,11,12
0.59612596,0.16168046,0.31455213,0.43328878,0.3906675,0.56142783,0.3828722,0.4025268,0.6255358,0.19863127,0.6166997,0.7862667,0.30138555
0.78043836,0.04256487,0.20801806,0.29982826,0.15539786,0.5703426,0.3716546,0.5014147,0.5707604,0.34898868,0.5431574,0.5229093,0.23733217
0.5378934,0.13883007,0.2843079,0.52579725,0.2444416,0.6206972,0.43028617,0.3867979,0.70354897,0.3971873,0.71181774,0.63523895,0.5418987
0.5155205,0.12863253,0.31291005,0.4207687,0.029980704,0.59993106,0.3227603,0.45698828,0.5170333,0.18917958,0.7883314,0.4850002,0.5246951
0.5163873,0.20101167,0.5757565,0.61167157,0.17553292,0.62135315,0.3846755,0.55809593,0.45447308,0.12202422,0.82850146,0.61776954,0.22537532
0.33963948,0.14810263,0.60324687,0.40257442,0.21284306,0.49586874,0.323251,0.5005023,0.32802117,0.13199274,0.66322684,0.39219096,0.20256418
0.49979383,0.035895854,0.29040173,0.37985262,0.30534214,0.78790134,0.48440635,0.49882087,0.67440426,0.42757487,0.4680082,0.6328616,0.20158412
0.4515425,0.46707764,0.16404915,0.52043235,-0.019270808,0.5371144,0.34953475,0.36880088,0.4044246,0.27000055,0.42643994,0.490862,0.36941883
0.5189731,0.1659857,0.21705672,0.5203566,0.17286733,0.59238577,0.49478668,0.47279412,0.55787545,0.48433876,0.697459,0.49393198,0.4517932
0.5221921,0.104833394,0.3848374,0.5139736,0.13430482,0.5466036,0.42043877,0.32711375,0.6367333,0.2594291,0.85771936,0.5691543,0.48546052
0.47019523,0.1540215,0.21179217,0.45759654,0.3011675,0.49407157,0.3645519,0.25950772,0.41120544,0.23242638,0.48938224,0.53941905,0.32162392
0.4608823,0.12627415,0.31429365,0.6694294,0.40199786,0.7237718,0.38789004,0.27316836,0.68270606,0.32613966,0.5820306,0.46522945,0.4045561
