0,1,2,3,4,5,6,7,8,9,10,11,12
0.43999928,0.17159471,-0.050794065,-0.18074122,0.26797187,0.4339702,0.17031385,0.14568032,-0.039993204,0.22152698,0.43268389,0.34829488,0.339883
0.37158477,0.14039308,0.64397,0.27989668,0.31199437,0.506515,0.50916684,0.37215385,0.46030444,0.3648572,0.64727163,0.45416105,0.37875926
0.83014506,0.21208073,0.72766644,0.6366018,0.18171597,0.6419177,0.5513758,0.078582756,0.37841442,0.2744317,0.81403184,0.7554076,0.19620588
0.27777237,0.52427304,0.49593621,0.21464068,0.5409922,0.3645,0.3239804,0.41194868,0.13140781,0.26697093,0.34594196,0.5982459,0.31817403
0.50343317,0.14125347,0.4837252,0.23479111,0.3604402,0.49457878,0.41200274,0.20675384,0.22868499,0.24744684,0.6407463,0.7223713,0.25820664
0.3841591,0.27123082,0.5801746,0.47975218,0.09290107,0.44428435,0.38807535,0.37418556,0.16588184,0.22814292,0.41793877,0.78629327,0.4400702
0.38573766,0.37629473,0.58968085,0.21095483,0.23143373,0.38531792,0.39082634,0.5460292,0.28357914,0.28589714,0.43455762,0.54491,0.3414907
0.37111613,0.31165358,0.6592808,0.38643563,0.2888182,0.35072267,0.37184715,0.4915806,0.2865507,0.3956548,0.40023243,0.65060425,0.32908937
0.48631307,0.22113138,0.2653004,0.25526625,0.24392685,0.24314606,0.30920926,0.1784167,0.18991278,0.23650727,0.44170594,0.651544,0.34161866
0.44195223,0.27482194,0.30206653,0.3773237,0.19189888,0.42417178,0.40577734,0.25186658,0.23492679,0.25589752,0.45971438,0.8149254,0.40299508
0.38989368,0.3005184,0.4170678,0.27584717,0.16698487,0.32197666,0.41776466,0.3159787,0.2640997,0.32334685,0.39625996,0.78029215,0.31392732
0.21456827,0.18736875,0.7388844,0.31085765,0.3404835,0.60017264,0.44785342,0.33136147,0.16445784,0.37361735,0.42399615,0.5586171,0.34103116
0.19892812,0.4933235,0.65323097,0.2617483,0.39895546,0.44348347,0.61872035,0.41607034,0.280124,0.3917146,0.9454081,0.7614948,0.4188088
0.2938062,0.8154372,0.61189157,0.35988188,0.20557803,0.6018967,0.54743207,-0.0006608367,0.6403235,0.29099107,0.13350329,0.89766985,0.2394816
