0,1,2
,,
0.8108108,0.8095238,0.415
0.71533537,0.8330887,0.36301768
,,
0.51519513,0.86599994,0.5016982
0.6577639,0.79007655,0.41833726
0.6756757,0.8095238,0.44666666
0.8108108,0.8095238,0.35
0.6164445,0.77726936,0.4168623
0.45945945,0.8095238,0.505
0.7669223,0.7619048,0.34325117
0.43724793,0.7394528,0.4751196
0.41621068,0.73658144,0.56433725
0.7027027,0.7619048,0.465
0.6486486,0.72467434,0.43738276
0.54199255,0.7530869,0.49355727
0.6621622,0.7619048,0.46833333
0.4206569,0.7619048,0.64197737
,,
0.5280099,0.7618515,0.44426644
0.83374137,0.78368735,0.37863648
,,
0.5405405,0.80671227,0.47514522
0.707731,0.7471323,0.38272083
0.5423309,0.731498,0.49427694
0.44521403,0.9497147,0.49341768
0.5655856,0.6467463,0.5177172
0.7489154,0.71428573,0.42242175
0.6797237,0.6724119,0.48107085
0.5194675,0.71428573,0.5015809
0.6216216,0.71428573,0.42666668
,,
,,
,,
0.57166725,0.7268852,0.41885987
,,
0.5624996,0.71428573,0.4742868
0.7210981,0.71428573,0.47050437
0.5945946,0.71428573,0.45939294
0.7119636,0.8399405,0.3712329
0.5782457,0.7700314,0.4543999
0.4964987,0.7231573,0.5346376
0.4224649,0.8092909,0.53030807
0.8103401,0.71428573,0.4168773
0.62835425,0.7579707,0.45419532
,,
0.52443266,0.75825995,0.48339757
0.6486486,0.71428573,0.49333334
0.68723303,0.2127739,0.5432396
0.55103034,0.24626942,0.5921737
0.56036127,0.2801441,0.5722581
0.64219147,0.2883627,0.5541319
0.5186415,0.21689339,0.675189
0.659285,0.23139077,0.5275938
0.5405405,0.1904762,0.64071506
0.44917396,0.6712854,0.5979234
0.54946154,0.5725393,0.4625165
0.78924775,0.6476819,0.431214
0.6523434,0.6235826,0.40091932
0.8648649,0.6413432,0.4051433
0.43243244,0.78827876,0.545915
0.59857607,0.6666667,0.4526077
0.7294324,0.4985397,0.48678687
0.45945945,0.6666667,0.53
0.5873137,0.6251155,0.50464714
0.49468547,0.6666667,0.5715551
0.45332783,0.6415039,0.5726136
0.6855531,0.6877546,0.4307701
0.6486486,0.2857143,0.5414603
0.5961976,0.3164295,0.5483696
0.61527807,0.31082472,0.58341867
0.69024235,0.2857143,0.50279105
0.52731335,0.87323403,0.44612378
