0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-4.6062913,-2.8438656,0.39347592,1.8161368,-0.786114,-3.9450736,-3.7626882,-3.3965497,-3.5522094,-2.817553,1.8438146,2.1618314,2.5490332,-2.6518595,-4.406482,-3.4473686,-2.618663,-1.9710796,1.3620787,2.730456,3.425248,-0.47929752,-4.902525,-6.453012,-3.2274237,-1.9637384,-0.7804253,1.2618945,1.8457179,-0.1915384,-3.5658247,-3.0150025,-2.4669368,-2.1141558,-1.5801134,-0.45741415,4.04077,0.33950865,-3.641345,-3.4842114,-3.703437,-3.149931,1.3803191,0.7754996,5.526342,-0.3170302,-2.725954,-2.8921409,-3.5073938,-2.7809036,-0.0407269,2.2319367,6.1965947,-2.3240957,-3.4037669,-3.2353148,-4.5082293,-2.459939,0.266311,2.5887113,0.59481454,-2.8561394,-2.1156511,-3.7304049
-3.6342614,-3.1524136,-1.1462075,0.46212977,1.7735592,-1.0134681,-2.8395119,-4.5731792,-3.6590922,-1.9048936,0.59969485,3.8886724,2.070162,1.7311978,-3.4326608,-5.492083,-3.4801311,-1.3944101,0.1293869,2.123516,2.0365636,-0.060909986,-3.0275817,-6.357673,-3.0317004,-1.9948353,-0.6325054,1.3822112,2.8274581,-0.7621321,-2.8198793,-6.30791,-3.429409,-2.1642966,-1.7382091,2.0832474,2.3373342,0.06424606,-4.128705,-4.7826676,-2.803455,-4.053217,-0.7833357,3.1563516,2.9501653,0.20827603,-4.3386765,-4.410595,-3.3861656,-3.5395174,-1.5023165,2.1407866,2.2415454,-0.23601699,-3.8716083,-4.234673,-4.2315507,-4.1294737,-2.0235326,-0.48424125,1.3979776,-0.83685046,-2.136986,-5.161067
-3.2434933,-2.5367575,-1.8534551,0.36600113,-1.704374,-1.9816767,-5.0486927,-2.6295092,-6.6688204,-3.9479291,-0.34681726,3.5176148,0.35805312,-3.0134368,-3.1508474,-3.3399584,-2.9283488,-3.6605687,5.0029163,6.6147423,6.3271036,-2.624766,-3.6978266,-6.152931,-4.942805,-3.3334203,3.2273183,7.036199,0.6602602,-0.5901046,-3.2693694,-3.9412782,-3.0082254,-3.3516486,2.1172397,2.050496,2.9056454,-2.4068487,-2.8911731,-4.1575623,-3.8294501,-4.3313923,-0.69891167,2.1524146,0.22219801,-1.887233,-2.179191,-2.8022695,-3.6287675,-4.3809147,-0.3723874,1.3602875,1.593245,-0.0001411438,-1.5680802,-3.9449275,-2.8867996,-3.432731,-1.273581,0.38513213,1.9528482,-0.4894619,-3.9300776,-5.126178
-4.7365756,-2.8108768,0.809899,2.6812534,0.26617348,-3.0823193,-3.3853083,-5.912356,-5.0277643,-1.8169564,1.0072842,0.5573572,3.3751693,-1.2053673,-3.515975,-5.4949136,-3.5968542,-1.7845917,-1.0300643,1.1911571,4.0886507,-0.6853993,-3.2094078,-3.4448493,-3.083663,-1.6952736,-0.7334846,0.21561289,3.97766,-1.4480053,-2.756981,-5.6441784,-2.5367773,-2.264297,-2.0151036,3.2889235,4.8380566,-2.4455826,-2.480564,-4.1140704,-4.5999107,-2.4645863,-2.4032376,-0.05124712,2.8657613,-2.7780025,-2.2494388,-3.321293,-3.1901584,-2.5042834,1.0711286,1.1578344,-0.30146992,-0.5886693,-0.7395896,-3.604924,-4.0400124,-4.169659,0.04589966,1.970421,4.9199657,2.15398,-3.442897,-3.729511
-3.0275116,-3.246072,-0.61109704,4.048164,2.7014594,0.5627448,-2.7477117,-3.1399553,-4.886111,-2.941879,0.51997423,2.2038608,0.9194874,0.69285,-2.115187,-3.38483,-3.0791194,-1.6337228,0.49431777,2.1891334,2.245021,-1.1578876,-1.5886476,-5.139043,-3.8549666,-0.53679657,0.15881014,1.6311767,2.9911196,-0.7790459,-2.036757,-4.873439,-2.9501905,-1.9089968,1.1049757,2.3138607,3.2992423,-1.5304613,-2.1814404,-2.8771849,-3.4552293,-3.0636501,2.6452918,3.368609,2.5540462,-1.6799524,-2.0283203,-3.3564289,-2.530996,-3.2426746,-0.12064445,2.3880477,0.91510224,1.9022514,-1.8648553,-3.4259207,-3.7311313,-3.1437166,-0.93470514,0.9058398,2.9450676,0.50707734,-2.7092307,-2.9879136
-3.9279885,-7.7814198,-0.6710201,4.230393,0.20536023,-1.2938445,-3.220629,-2.5653348,-3.7659295,-4.5497284,-0.30685747,4.445604,2.1620417,0.7377353,-1.3977333,-3.1687136,-3.4706254,-2.1928215,-0.97115016,3.2767434,2.6147747,-1.21035,-1.8965575,-3.6785328,-4.173699,-1.7541407,-1.8396192,1.7962172,1.7956614,-1.8162866,-2.8256657,-3.9894621,-3.5370975,-1.9752858,-2.9163554,1.4775147,3.9944181,-1.3000675,-3.5499759,-4.4798903,-3.682947,-2.9739573,-2.8930187,1.1466377,3.5515695,-0.78118944,-4.3095665,-3.0571947,-2.9735928,-8.492351,-0.31100643,1.6646774,2.2988882,-0.852442,-4.6024175,-3.3804343,-4.809072,-2.858195,-0.8290767,0.8280227,0.61292684,-1.3154227,-3.056979,-3.3171086
-3.739971,-3.1534188,-1.1882511,1.7346158,-1.908047,-3.0650373,-3.93208,-3.916049,-4.973731,-3.809653,-1.6963317,4.346555,4.5586796,-2.515164,-4.107697,-3.6625247,-5.593541,-4.7439766,-0.69308925,7.6165314,11.850948,-0.44738007,-4.9210577,-3.763416,-3.5781336,-3.5018282,1.2905104,4.534005,4.034606,1.6693785,-3.8244092,-3.1729474,-3.5929148,-2.8820477,-0.83513904,0.118404865,1.9022913,-0.5478861,-4.354678,-4.2289057,-3.9410715,-2.5431538,-1.8388507,-0.289752,1.2856092,-0.9565381,-2.809453,-3.564959,-3.476811,-4.45796,2.4523675,1.7209657,1.8101884,1.6454248,-0.81320274,-3.3583448,-3.4457135,-3.0514395,-0.44549277,2.9267962,2.3817987,0.9609663,-2.5283995,-3.0483196
-3.358693,-4.166199,-5.6312237,0.5654273,0.82348096,-2.9283273,-4.827614,-3.2262998,-3.053608,-2.0721688,-0.7157479,6.1713276,5.64995,-1.5073962,-3.8592768,-3.278111,-2.9935725,-0.04061055,0.7253549,3.4986057,3.6229258,-0.1837784,-3.3032627,-3.475779,-5.936039,-2.0961244,1.7446737,5.1088667,1.7150431,0.6364956,-2.9190326,-5.4211855,-3.1697116,-5.3458714,-0.6277814,5.0363503,2.6452246,-0.6812449,-3.6035888,-3.3720715,-3.1097002,-5.1445837,-2.3286986,5.0041428,0.86527586,-1.5585232,-2.1124196,-4.4866624,-3.466981,-3.567154,-1.8387672,7.2416763,2.5511265,1.5379213,-1.3870511,-4.666921,-3.5113592,-3.0320206,-3.2327888,0.15608978,3.0406332,1.449259,-1.6668135,-2.9260466
-3.4643657,-2.5401592,-0.64407057,0.93321395,2.7620437,-0.34369695,-2.924579,-5.130767,-2.9777794,-1.3227688,0.47704887,5.422559,3.2178612,-0.22592032,-3.5063114,-5.891478,-3.2881732,-1.6274481,1.9222891,6.235601,3.7570057,0.8346584,-3.7165337,-3.2624516,-3.7598236,-3.0022726,1.0980184,6.005616,5.6216536,-0.07831156,-4.1607714,-3.9406877,-3.168767,-2.7633133,-2.5823848,4.728772,5.5797763,-1.0125577,-4.692493,-3.9328651,-6.2043037,-3.8024735,-1.363121,1.9970446,3.7189665,-2.064845,-3.7103024,-4.1441035,-2.7920055,-2.538189,-0.32263803,1.0383861,2.1681294,2.0265877,-1.5528301,-4.6827517,-5.606029,-3.069431,-0.6795278,1.4345782,5.692234,2.1518412,-2.8413846,-2.9285536
-3.6570406,-2.397397,-1.6090509,0.8561548,0.9959095,0.9597474,-1.091053,-3.2702816,-3.3240387,-6.41411,-1.6538638,7.5381937,1.3730502,-1.8050476,-2.0044005,-3.4860609,-3.5298333,-6.146394,-0.13874364,3.270936,2.293427,-4.401228,-2.1996036,-3.3096492,-2.8529587,-2.8907752,-0.87984884,1.3575187,1.7845187,-1.6199827,-3.253893,-3.2534664,-4.853119,-2.8926532,-3.1535623,2.2344813,1.568686,-2.0586915,-4.053017,-3.2755883,-4.1291323,-3.333351,-3.5257833,-0.0525527,3.1021078,-1.5736003,-4.3003283,-2.723869,-3.2270067,-2.9013286,-0.8225107,1.3999131,2.321938,-1.7073383,-5.004958,-4.2934895,-3.173781,-3.2674696,-1.8512404,1.787651,1.2847137,-2.0262034,-1.9776899,-2.9468246
-3.7552958,-2.9889944,-1.1297729,0.031331897,1.349114,-1.3425313,-3.9051037,-2.730346,-2.7494268,-5.3328094,1.4107075,2.6044896,2.4005456,-0.9249835,-4.189228,-3.8179567,-3.2022626,-2.8858204,-2.2667773,2.2565079,3.958826,-2.2528205,-3.8317127,-3.998025,-3.41637,-3.0988548,-1.6692293,0.6310644,5.113019,-1.6764078,-4.707167,-4.552691,-3.7407827,-3.2008123,-3.9639463,-0.96183586,3.3798447,-1.3920989,-5.345887,-2.9679668,-3.5467596,-3.810903,-4.3021975,2.6937757,1.2324448,-2.237208,-5.1125145,-5.197213,-3.1939156,-3.7076712,-1.4931909,1.8226371,2.7319407,-0.33284175,-5.607526,-4.7407446,-5.0906487,-4.0501094,-1.8615067,0.1744523,1.1509889,-0.036784053,-2.90318,-3.917952
