0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.7445656,0.22539881,0.009914553,0.320938,0.4409909,0.3693192,0.3766519,0.9640555,0.9218425,0.82528746,0.8804917,0.33359885,0.4302592,0.606551,0.2767828,0.0,0.0,0.23949781,0.17765269,0.21751858,0.40935394,0.4529697,0.91109467
0.7340214,0.1931039,0.008868947,0.3922788,0.48964265,0.34224433,0.35764214,0.92121005,0.086610764,0.7078694,0.91414374,0.34085435,0.35165262,0.5048101,0.26631257,0.0,0.0,0.18743974,0.1937671,0.5122957,0.40951276,0.43638992,0.93932086
0.6723077,0.12329585,0.0,0.34679058,0.39163822,0.27256757,0.29836503,0.9510817,0.19846678,0.7206582,0.8902004,0.3095816,0.43214497,0.6156805,0.2830491,0.0,0.0,0.13508351,0.18355876,0.35684097,0.5007664,0.40994945,1.0
0.6966773,0.39376473,0.031639885,0.3687666,0.39328557,0.34524184,0.34449363,0.8750289,0.15099634,0.7579704,0.8810233,0.3279302,0.35870522,0.31591415,0.2923151,0.0,0.0,0.30728018,0.0014197733,0.2589892,0.3109094,0.4313353,0.90622675
0.7282807,0.23973097,0.0,0.23446393,0.5112237,0.33182973,0.35778293,0.9798325,0.46477512,0.8460844,0.88747466,0.38418686,0.3863587,0.33468616,0.27352887,0.0,0.0,0.27885813,0.16303433,0.42344326,0.33879745,0.444659,0.7723554
0.8330241,0.17191617,0.056981977,0.22419068,0.3782322,0.366239,0.3619754,0.9499394,0.0050520375,0.82980007,0.8865416,0.28074518,0.30542627,0.20127757,0.3047856,0.0,0.0,0.14384383,0.0,0.40345225,0.032569498,0.37329528,0.69947314
0.9258903,0.40040553,0.07962339,0.22312862,0.24870966,0.3703215,0.37027463,1.0,0.017322168,0.876847,1.0,0.1921795,0.3321244,0.65725297,0.273174,0.52547055,0.26319593,0.03795838,0.1344986,0.23534596,0.33839917,0.035169855,0.58146447
0.8521143,0.3165507,0.08556945,0.19336511,0.49591544,0.34192744,0.36680233,0.9786047,0.818017,0.83711386,0.9074426,0.41032523,0.3169388,0.41829228,0.27141863,0.63146746,0.15532678,0.11873614,0.0023241872,0.35099137,0.31744865,0.33816946,0.59350723
0.82896644,0.4650784,0.03035781,0.21173657,0.5590644,0.3556549,0.35091063,0.975811,0.34393615,0.76288164,0.8828162,0.45692614,0.44392395,0.54050964,0.25724074,0.47790068,0.22092512,0.075263225,0.08975655,0.40881532,0.3385808,0.35320702,0.70196825
0.845112,0.2146137,0.011788211,0.1886072,0.21120259,0.32190618,0.35657114,1.0,0.01861748,0.88359386,1.0,0.1813438,0.34181708,0.2387665,0.26995954,0.0,0.0,0.2286245,0.1953574,0.29801568,0.3036478,0.33941686,1.0
