0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.84712017,0.7955198,0.0,0.40649456,0.9439253,0.6959544,1.0,0.953943,0.0,0.8892232,0.97579885,0.09994027,0.27614632,0.693401,0.036692686,0.3155586,0.39402732,0.15806834,0.11107866,0.24131915,0.0,0.21250296,0.0
0.9847146,0.46387333,0.27516672,0.48120156,0.17942926,0.4445402,0.32148558,0.98739076,0.03582432,0.89061916,1.0,0.1079595,0.43408218,0.34903342,0.25587606,0.36633542,0.5128612,0.87139535,0.28028816,0.29370585,0.3251195,0.19640799,0.81059676
0.50733274,0.112508416,0.023694396,1.0,0.05359702,0.6864949,0.26879647,1.0,0.9452231,0.4488958,0.49276885,0.5448836,0.32016477,0.80702686,0.993698,0.60638463,0.0,0.07499378,1.0,0.820874,0.6969419,0.3485675,1.0
0.9137255,0.45463657,0.14661014,0.12658611,0.26363638,0.22142857,0.42142856,0.90000004,0.0,0.9333333,1.0,0.4274336,0.6,0.540367,0.17272729,0.29999998,0.10000001,0.21203318,0.25416666,0.3926829,0.3375,0.27037036,0.7972477
1.0,0.6264833,0.9599716,1.0,1.0,0.0,0.0,0.16456476,0.0,0.7417378,0.55519354,0.109718144,1.0,0.115564875,0.6204787,0.0,0.8158351,0.34505558,0.37897822,0.32175052,0.704547,0.31979448,0.22012576
0.5829404,0.77372986,0.028885812,0.82227933,0.9627475,0.2976541,0.05516582,0.964644,0.53799015,0.49811453,0.5817955,0.8251486,0.82316,0.9724186,0.44221106,0.25325716,0.18090045,0.038880724,0.026937425,0.028276637,0.03511352,0.17644477,0.9716908
0.76096785,0.17720863,0.0,0.78635675,0.9605305,0.043155324,0.028992115,1.0,0.47122037,0.65869755,0.543171,0.28567374,0.63144594,0.8889365,0.72575474,0.1404198,0.04035902,0.0,0.16860555,0.43742257,0.32100448,0.43293375,1.0
0.77740353,0.33483973,0.08665873,0.39854893,0.21742338,0.35256308,0.21077737,0.8029579,0.0,0.7641089,0.963695,0.14859265,0.38615584,0.7458177,0.46425962,0.38069057,0.37704647,0.063428715,0.17570457,0.24122399,0.52977073,0.34375918,0.6921776
0.87216175,0.1743727,0.063680224,0.22372329,0.26119196,0.2663862,0.6870163,0.9607417,0.0,0.9855877,1.0,0.46113256,0.4574811,0.20879275,0.1272904,0.21297735,0.6617901,0.2720023,0.21177277,0.30281726,0.2122487,0.24793893,0.63175386
1.0,0.35303548,0.53709173,0.24868569,0.6449796,0.7829347,0.40885532,0.87414217,0.83863634,0.994878,0.0,0.36820674,0.7468966,0.39214152,0.4635625,0.0017080017,0.1446696,0.68311626,0.1637106,0.0,0.36509976,0.3623467,0.3656863
