0,1,2
0.70668685,0.933069,0.5305617
0.7942815,0.9654499,0.48395246
0.6692668,0.9495789,0.5553598
0.59581697,0.98378956,0.56979537
0.7809482,0.9792352,0.47117344
0.6700463,1.0049419,0.5375955
0.5752659,0.93214595,0.62071335
0.8900333,0.88277894,0.46463424
0.6300818,0.9600494,0.56454784
0.48004723,0.84618664,0.6640778
0.62845093,0.98378515,0.5528266
0.5942502,0.8754154,0.6190664
0.59946257,0.90856266,0.6088597
0.7478381,0.90513957,0.52381355
0.69318736,0.9203582,0.54520196
0.8105233,0.9344108,0.4849754
0.5824714,0.9936484,0.55125004
0.6018178,0.99603295,0.5187905
0.84160125,0.8940506,0.47319698
0.5726995,0.9486,0.5619928
0.7392743,0.8493271,0.54537565
0.75233775,0.8179661,0.55369484
0.8605697,0.8459067,0.492311
0.62637526,0.919332,0.56898177
0.6850822,0.8450214,0.570012
0.8381796,0.9405435,0.44064558
0.5884715,0.9427122,0.5644758
0.63963974,0.89596015,0.5740656
0.57719487,0.886909,0.62087333
0.82074285,0.9310249,0.4704581
0.61720264,0.8179661,0.6336949
0.6015471,0.910717,0.59247255
0.7721244,0.41635212,0.6237149
0.48224914,0.47523642,0.6969089
0.5619562,0.46109545,0.6579716
0.79219985,0.47748953,0.54163855
0.66195637,0.40543306,0.6996126
0.8601551,0.42445046,0.5934768
0.6850905,0.45727122,0.68848723
0.4514376,0.8480381,0.66353613
0.6951346,0.8515729,0.5577014
0.8024507,0.8558473,0.49959314
0.6450508,0.87698907,0.56717753
0.75553846,0.83820367,0.5382178
0.5873981,0.8016169,0.66199845
0.5536841,0.7825091,0.68165755
0.49663037,0.8792743,0.6278938
0.81114185,0.8627119,0.490188
0.8254918,0.48287192,0.5968042
0.711565,0.54192233,0.5789431
0.7149448,0.5168,0.6083313
0.8176789,0.5008226,0.5815971
0.67620385,0.98173463,0.5115308
0.56818265,0.95022,0.55934656
0.66579115,0.9991239,0.5414315
0.6272999,0.99685365,0.562937
0.6421863,0.9982933,0.54755753
0.7858797,0.6751219,0.56753874
0.76246303,0.67387706,0.60388124
0.7001122,0.74182737,0.5661353
0.8160958,0.6772554,0.5493762
0.66815585,0.6891266,0.62290853
0.76192045,0.72805554,0.55074096
0.6225897,0.6837275,0.66303515
0.6432762,0.73798704,0.59335905
0.70622176,0.6882329,0.60431266
0.7890245,0.6778626,0.5816988
0.51167274,0.73886645,0.6470802
0.43143854,0.7695954,0.68888164
0.7638043,0.7287576,0.54178077
0.46066403,0.7134795,0.7271293
0.6422672,0.61050075,0.7025359
0.7073237,0.624169,0.642478
0.8541816,0.70035267,0.50221646
0.7258743,0.71941143,0.5414814
0.52370334,0.6585267,0.73032415
0.86433995,0.61079395,0.58295375
0.5151135,0.6484155,0.75788003
0.8301162,0.69614017,0.51323956
0.617907,0.72036046,0.581199
0.69901323,0.656383,0.60763925
0.7096022,0.6543804,0.6004014
0.5386412,0.6890682,0.6509382
0.7686985,0.6360579,0.603853
0.8481292,0.6233945,0.5873832
0.89770114,0.6420329,0.52926826
0.6247806,0.6504305,0.6568252
0.5544975,0.64878774,0.7059808
0.5490334,0.89198786,0.6083915
0.7271305,0.99788815,0.5021709
0.5356469,0.95384336,0.5424377
0.60424125,0.7036144,0.55652577
0.58015704,0.57802176,0.75729436
0.57189333,0.60570306,0.7086619
0.8491249,0.6220781,0.54218304
0.816718,0.61444557,0.51579165
0.88640845,0.7076113,0.47398221
0.73765165,0.62045854,0.5924112
0.8183982,0.66136235,0.521359
0.6260463,0.7010335,0.5493085
0.67685294,0.60305035,0.6391288
0.7008799,0.8540369,0.5285351
0.63779825,0.7770914,0.61596036
0.6828455,0.88329357,0.49783
0.66343915,0.86892486,0.52157855
0.535655,0.8281696,0.6250245
0.6976613,0.821098,0.55817443
0.6629243,0.8686818,0.5279113
0.56195956,0.80645967,0.6380441
0.7677823,0.8115671,0.52705956
0.468826,0.8326866,0.6496862
0.9088328,0.8139576,0.46760175
0.6414146,0.7565887,0.6267192
0.7257675,0.7849563,0.5590324
0.45789838,0.7932049,0.7092301
0.598675,0.85885346,0.5615567
0.838876,0.7865318,0.50726146
0.8747404,0.8000752,0.45665288
0.7098609,0.79542583,0.54657626
0.60245484,0.7856874,0.60136145
0.75667727,0.71612316,0.5994546
0.920068,0.78080213,0.46651375
0.776235,0.73752195,0.54750127
0.7311335,0.7213279,0.57757264
0.71177095,0.7282313,0.5868926
0.58253944,0.6980346,0.707413
0.76873934,0.78847796,0.523321
0.6381786,0.7037043,0.6592283
0.7284381,0.7784135,0.5501703
0.569477,0.82973945,0.5550414
0.44583586,0.7623451,0.70939815
0.56912374,0.798733,0.59637046
0.65583485,0.61777747,0.60286194
0.7517216,0.6074841,0.57636464
0.5453701,0.58796436,0.692456
0.51951164,0.58750427,0.7051505
0.52614456,0.62263656,0.63871884
0.6596236,0.58373284,0.6471815
0.85573506,0.5604731,0.54981434
0.5462907,0.62855154,0.62125635
0.54963565,0.59382474,0.68125015
0.59309804,0.6268334,0.6058328
0.5253524,0.84156,0.61271393
0.6612497,0.95898515,0.5205344
0.70386124,0.9704789,0.510011
0.9072905,0.56928164,0.5175322
0.8698303,0.5128151,0.5770575
0.6283473,0.59650916,0.5886502
0.5756149,0.550938,0.68299866
0.47321588,0.5934376,0.7285444
0.7316773,0.5791553,0.5696312
0.7036197,0.5785144,0.5816002
0.561898,0.59624934,0.61147594
0.86193395,0.5397608,0.55295897
0.55519134,0.579412,0.6402423
0.7246604,0.48400366,0.6025408
0.764011,0.48038214,0.59272015
0.7330015,0.4933563,0.5881529
0.5919999,0.50250924,0.63360584
0.62339365,0.44752252,0.71052194
0.69418633,0.48447877,0.56806004
0.61828995,0.47266358,0.61353296
0.674189,0.39525086,0.64768773
0.59262085,0.4402452,0.6420578
0.56415707,0.39647907,0.7147853
0.6487664,0.4146126,0.63382286
0.6469232,0.45070451,0.6079978
0.83130985,0.37026066,0.5464891
0.52867997,0.9125502,0.6451099
0.75131243,0.42559367,0.6330091
0.8976363,0.7644923,0.42345566
0.7145586,0.691385,0.6349689
0.53131866,0.52497727,0.7191715
0.709252,0.7478328,0.576659
0.6005671,0.72025824,0.67378575
0.68790865,0.82266194,0.5589878
0.92548335,0.6675019,0.5048584
0.7859793,0.77133167,0.52378875
0.65439975,0.62145025,0.5891134
0.557642,0.8633827,0.65046394
0.6846468,0.79286075,0.6073327
0.6861817,0.89267695,0.5569359
0.6875316,0.739004,0.6383022
0.7694684,0.8957417,0.5070569
0.69525987,0.9008962,0.54325473
0.692813,0.90991616,0.54603565
0.84112716,0.92810905,0.47211024
0.729444,0.9292511,0.5223842
0.80354226,0.8336446,0.5080974
0.91943115,0.86325693,0.4589057
0.684423,0.6874528,0.6171679
0.84620464,0.736687,0.5050639
0.73198843,0.991279,0.49990523
0.75684786,0.74342376,0.5536076
0.8031944,0.8331202,0.5045269
0.52512765,0.86186254,0.6636314
0.72991246,0.6676059,0.6271557
0.75095534,0.4165793,0.69266075
0.6685854,0.8286888,0.5832072
0.56763965,0.85469216,0.64444786
0.86379534,0.4350494,0.6032982
0.62869,0.94547784,0.5493174
0.7542435,0.7425349,0.5445065
0.7956397,0.78662306,0.5499689
0.87836343,0.91863894,0.45780683
0.6467453,0.9834928,0.5545303
0.85111165,0.9538238,0.459467
0.7940671,0.62794864,0.61086
0.659637,0.9540224,0.5407982
0.7587735,0.7246462,0.5760869
0.78061604,0.7708079,0.5558426
0.8155939,0.7188729,0.5664981
0.9242396,0.68397105,0.49845845
0.7523028,0.67237616,0.5682203
0.5753838,0.65594816,0.68379325
