0,1,2,3,4,5,6,7,8,9,10,11,12
0.6169877,0.0863968,0.24862924,0.4593794,0.48106754,0.63196254,0.5919069,0.2565856,0.6431105,0.18190163,0.76459587,0.9923182,0.29818475
1.0241088,0.15272671,0.3072109,0.14899695,0.22618933,0.6116215,0.5444997,0.30190378,0.49542707,0.3345159,0.6186305,0.5789535,-0.2768802
0.56294864,0.24566452,0.14702329,0.5977131,0.39583302,0.66098416,0.69152194,0.16045462,0.60029596,0.18168764,0.98574024,0.7204921,0.6120235
0.69684255,0.17110682,0.46375367,0.25554958,0.1309809,0.5395302,0.4967748,0.30189613,0.44150996,0.36834338,0.6907665,0.59696335,-0.0931527
0.7329261,0.20571624,0.7182846,0.4362507,0.34516436,0.66550237,0.5422798,0.45290303,0.42576855,0.27475604,0.7940181,0.78033036,-0.10589598
0.5545753,0.15261301,0.7450785,0.22885302,0.38091034,0.5394832,0.47935435,0.3964286,0.29973298,0.2833769,0.62888277,0.552875,-0.19608083
0.6392084,0.16699126,0.39750126,0.2658802,0.46390542,0.73734784,0.6116584,0.39596683,0.60845,0.4140711,0.4847415,0.7721082,-0.14014503
0.5937729,0.60069746,0.27449328,0.4042528,0.1428839,0.48572472,0.4791437,0.2641606,0.33744803,0.25587246,0.4435359,0.63373363,0.024554005
0.52323836,0.20894474,0.407985,0.67311347,0.4670431,0.6713078,0.28302437,0.40527642,0.31694123,0.9681952,0.3517287,0.29470354,0.49202174
0.7208012,0.15471485,0.58811206,0.3192415,0.19042543,0.48560154,0.5464959,0.17002791,0.59320146,0.36857295,0.7835533,0.76917505,-0.13113326
0.6941251,0.15884417,0.35956421,0.27659467,0.4760151,0.5394288,0.52714425,0.15082127,0.38150048,0.38974118,0.45381698,0.70692176,-0.19712909
0.63934255,0.17092204,0.49671027,0.49466994,0.4523026,0.66909593,0.5010223,0.1320535,0.64351755,0.4240084,0.5156294,0.64461935,-0.052721772
